epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5436,3.08861,7.81401,1.04189,0.47489,0.04681,0.07087,0.0174,2.82338,4.80985,1.00516,0.000660194,0.000660194,0.000660194
2,31.4515,2.96985,5.1447,1.01724,0.27084,0.16596,0.0763,0.0196,3.07886,3.34821,1.0102,0.0011955,0.0011955,0.0011955
3,39.0339,3.08114,4.27666,1.00785,0.35208,0.1617,0.13226,0.04434,2.66127,2.60335,0.95877,0.00159881,0.00159881,0.00159881
4,46.5297,2.77419,3.26042,0.97598,0.34154,0.22553,0.15651,0.05097,2.73509,2.10984,0.96028,0.001406,0.001406,0.001406
5,54.0462,2.80762,2.76912,0.96295,0.36508,0.29787,0.20899,0.05946,2.72641,1.72782,0.94896,0.001208,0.001208,0.001208
6,61.5369,2.71976,2.36142,0.95836,0.49358,0.34894,0.29793,0.10388,2.33545,1.61318,0.91096,0.00101,0.00101,0.00101
7,69.0136,2.57156,2.1652,0.92499,0.44409,0.31489,0.23949,0.07258,2.55317,1.70433,0.92553,0.000812,0.000812,0.000812
8,76.5739,2.57332,1.9357,0.91079,0.49692,0.34043,0.35282,0.10825,2.44871,1.6225,0.91506,0.000614,0.000614,0.000614
9,84.1431,2.41249,1.85165,0.91111,0.43944,0.25106,0.22893,0.06551,2.51586,1.57554,0.9262,0.000416,0.000416,0.000416
10,91.7807,2.50951,1.73635,0.91898,0.5443,0.34468,0.36029,0.12314,2.23572,1.37544,0.89147,0.000218,0.000218,0.000218
