epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6358,2.20384,1.35598,0.88324,0.46885,0.31928,0.33833,0.09953,2.49556,1.63388,0.9066,0.000660194,0.000660194,0.000660194
2,30.3841,2.31896,1.43225,0.89877,0.51351,0.28085,0.28184,0.07914,2.65784,1.95476,0.9156,0.0011955,0.0011955,0.0011955
3,37.9691,2.49437,1.55537,0.90473,0.39315,0.28511,0.26581,0.07731,2.46699,1.83618,0.90375,0.00159881,0.00159881,0.00159881
4,45.5072,2.35948,1.57307,0.89398,0.28412,0.22128,0.17342,0.0508,2.82497,1.82007,0.94313,0.001406,0.001406,0.001406
5,53.0566,2.48068,1.56526,0.90086,0.4212,0.34894,0.31601,0.09593,2.45827,1.6952,0.89983,0.001208,0.001208,0.001208
6,60.7803,2.4873,1.59689,0.90326,0.62161,0.3617,0.41308,0.13554,2.31214,1.49292,0.88947,0.00101,0.00101,0.00101
7,68.3735,2.37142,1.4334,0.88905,0.53211,0.39149,0.36569,0.10915,2.41467,1.6178,0.89405,0.000812,0.000812,0.000812
8,75.896,2.28679,1.42223,0.87579,0.5732,0.34468,0.35912,0.12271,2.32097,1.45169,0.89573,0.000614,0.000614,0.000614
9,83.4251,2.32058,1.40183,0.88167,0.52092,0.37021,0.34472,0.10196,2.40121,1.46914,0.90071,0.000416,0.000416,0.000416
10,90.9843,2.38507,1.38437,0.89247,0.49994,0.38723,0.36785,0.11063,2.34161,1.40131,0.88928,0.000218,0.000218,0.000218
