epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0143,1.72207,1.03965,1.16462,0.83414,0.68548,0.78709,0.34742,1.89315,1.11602,1.3103,0.000663121,0.000663121,0.000663121
2,28.7863,1.72247,1.07282,1.16778,0.82623,0.63909,0.74349,0.3245,1.85234,1.1991,1.28358,0.00106649,0.00106649,0.00106649
3,42.2266,1.75038,1.06963,1.18523,0.80494,0.67742,0.76365,0.32681,1.92282,1.09711,1.33386,0.00120586,0.00120586,0.00120586
4,55.5207,1.77317,1.07537,1.20329,0.8411,0.72043,0.8148,0.3665,1.85572,1.0589,1.32629,0.000812,0.000812,0.000812
5,68.8714,1.72806,1.05885,1.20183,0.85244,0.75538,0.84374,0.41488,1.69296,0.96506,1.25239,0.000416,0.000416,0.000416
1,15.0097,1.75827,1.05955,1.19727,0.82091,0.76344,0.84022,0.36838,1.82456,1.04374,1.34384,0.000663121,0.000663121,0.000663121
2,28.6729,1.76623,1.11288,1.20972,0.76854,0.72312,0.77885,0.335,1.90296,1.11982,1.34047,0.00106649,0.00106649,0.00106649
3,42.0463,1.78733,1.0999,1.23173,0.78895,0.74731,0.8063,0.37397,1.84277,1.06122,1.32805,0.00120586,0.00120586,0.00120586
4,55.366,1.76699,1.08348,1.20662,0.82598,0.77834,0.83041,0.36873,1.82893,1.0418,1.31326,0.000812,0.000812,0.000812
5,68.6641,1.74765,1.037,1.21071,0.85707,0.78986,0.86343,0.40866,1.7907,0.93264,1.30394,0.000416,0.000416,0.000416
