epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1133,1.57864,0.88464,1.2068,0.82905,0.80376,0.85709,0.38627,1.81912,0.95882,1.32435,0.000663121,0.000663121,0.000663121
2,42.5824,1.60987,0.90343,1.22599,0.85462,0.74462,0.83849,0.36342,1.89629,1.02388,1.37832,0.00119814,0.00119814,0.00119814
3,55.6896,1.62605,0.93657,1.23575,0.79017,0.72043,0.78936,0.35928,1.88376,1.06686,1.36092,0.00160116,0.00160116,0.00160116
4,68.7065,1.65581,0.93709,1.23598,0.8453,0.76344,0.85152,0.39758,1.80709,0.95115,1.35956,0.001406,0.001406,0.001406
5,81.7952,1.63745,0.94258,1.24341,0.8023,0.76075,0.81357,0.36889,1.82774,0.98228,1.33944,0.001208,0.001208,0.001208
6,94.9129,1.65971,0.93922,1.25378,0.81278,0.80108,0.8503,0.40853,1.74396,0.93247,1.30572,0.00101,0.00101,0.00101
7,108.136,1.62761,0.92408,1.24482,0.88446,0.82316,0.87968,0.43905,1.69013,0.88626,1.28286,0.000812,0.000812,0.000812
8,121.6,1.60633,0.89446,1.22182,0.8399,0.83333,0.87032,0.43135,1.70303,0.85942,1.29015,0.000614,0.000614,0.000614
9,134.668,1.61699,0.87729,1.2154,0.87526,0.78763,0.86498,0.42172,1.69932,0.88719,1.27835,0.000416,0.000416,0.000416
10,147.732,1.60326,0.87617,1.22274,0.87697,0.8172,0.88223,0.4499,1.63911,0.84437,1.25734,0.000218,0.000218,0.000218
